day,distance(m)
2024-09-13,241.0
2024-09-14,1100.0
2024-09-15,834.0
2024-09-16,605.0
2024-09-17,355.0
2024-09-18,537.0
2024-09-19,4000.0
2024-09-20,131.0
2024-09-21,6800.0
2024-09-22,858.0
2024-09-23,94.0
2024-09-24,90.0
2024-09-25,41.0
2024-09-26,121.0
2024-09-27,95.0
2024-09-28,2800.0
2024-09-29,1500.0
2024-09-30,149.0
2024-10-01,292.0
2024-10-02,499.0
2024-10-03,151.0
2024-10-04,81.0
2024-10-05,1000.0
2024-10-06,2100.0
2024-10-07,244.0
2024-10-08,27.0
2024-10-09,188.0
2024-10-10,1200.0
2024-10-11,1400.0
2024-10-12,992.0
2024-10-13,1500.0
2024-10-14,156.0
2024-10-15,609.0
2024-10-16,434.0
2024-10-17,252.0
2024-10-18,517.0
2024-10-19,2000.0
2024-10-20,895.0
2024-10-21,5100.0
2024-10-22,120.0
2024-10-23,54.0
2024-10-24,203.0
2024-10-25,3400.0
2024-10-26,745.0
2024-10-27,731.0
2024-10-28,4700.0
2024-10-29,308.0
2024-10-30,129.0
2024-10-31,32.0
2024-11-01,1400.0
2024-11-02,3900.0
2024-11-03,3200.0
2024-11-04,1200.0
2024-11-05,1600.0
2024-11-06,1300.0
2024-11-07,706.0
2024-11-08,1800.0
2024-11-09,1100.0
2024-11-10,2000.0
2024-11-11,2700.0
2024-11-12,1100.0
2024-11-13,2500.0
2024-11-14,900.0
