day,distance(m)
2022-03-13,6700.0
2022-03-14,72.0
2022-03-15,2400.0
2022-03-16,7900.0
2022-03-17,6800.0
2022-03-18,5500.0
2022-03-19,7900.0
2022-03-20,8000.0
2022-03-21,6800.0
2022-03-22,8000.0
2022-03-23,6700.0
2022-03-24,5500.0
2022-03-25,2400.0
2022-03-26,6500.0
2022-03-27,4100.0
2022-03-28,4600.0
2022-03-29,4500.0
2022-03-30,9700.0
2022-03-31,869.0
2022-04-01,2400.0
2022-04-02,3800.0
2022-04-03,4000.0
2022-04-04,2800.0
2022-04-05,4800.0
2022-04-06,341.0
2022-04-07,3500.0
2022-04-08,2500.0
2022-04-09,3100.0
2022-04-10,5400.0
2022-04-11,5500.0
2022-04-12,1200.0
2022-04-13,590.0
2022-04-14,1900.0
2022-04-15,618.0
2022-04-16,3500.0
2022-04-17,1100.0
2022-04-18,1700.0
2022-04-19,343.0
2022-04-20,1100.0
2022-04-21,883.0
2022-04-22,2400.0
2022-04-23,1600.0
2022-04-24,908.0
2022-04-25,2400.0
2022-04-26,2400.0
2022-04-27,2100.0
2022-04-28,1900.0
2022-04-29,1800.0
2022-04-30,3200.0
2022-05-01,1900.0
2022-05-02,921.0
2022-05-03,1900.0
2022-05-04,2400.0
2022-05-05,4100.0
2022-05-06,511.0
2022-05-07,4000.0
2022-05-08,7300.0
2022-05-09,3400.0
2022-05-10,2800.0
2022-05-11,2600.0
2022-05-12,1300.0
2022-05-13,2900.0
2022-05-14,8400.0
2022-05-15,3300.0
2022-05-16,6100.0
2022-05-17,2000.0
2022-05-18,1700.0
2022-05-19,1100.0
2022-05-20,3700.0
2022-05-21,2100.0
2022-05-22,2900.0
2022-05-23,1400.0
2022-05-24,343.0
2022-05-25,1100.0
2022-05-26,2300.0
2022-05-27,3200.0
2022-05-28,725.0
2022-05-29,10000.0
2022-05-30,14500.0
2022-05-31,3400.0
2022-06-01,3000.0
2022-06-02,1500.0
2022-06-03,4100.0
2022-06-04,97.0
2022-06-05,1800.0
2022-06-06,1200.0
2022-06-07,7200.0
2022-06-08,321.0
2022-06-09,3400.0
2022-06-10,3400.0
2022-06-11,2900.0
2022-06-12,3500.0
2022-06-13,3000.0
2022-06-14,2300.0
